restaurant,content,date,useful
"Five Guys","First time coming to this location. The burger, 5 stars for a fast food place. The fries were okay. The guy who rang us up was super friendly and made us feel welcome. They have those cool soda machines where you can get all kinds of crazy flavored beverages so that was nice. With other options in the mall, don't know that I would come back. Kind of a one and done deal for me.","3/13/2016",0
"Five Guys","I would like to start by saying I am not a burger fan.  Not by any means.  Having said that, this may be the best burger place I have been to.

I got the little bacon burger.  One patty, lettuce, tomatoes, onions, mayonaise, bacon, cheese.  Just a simple burger and it was delicious.  I usually don't want to finish my burger when I get one, but this one I could not put down.

The meat was juicy, all the flavors combined were excellent, and the fries were damned good, too.

I would definitely come here again.  This is the first 5 star rating I have given out and I don't like burgers!!!!!","11/25/2009",2
"Five Guys","Amazing. I had to try this place after all the rave reviews. The fiancee and I both had little cheeseburgers the way we wanted and shared a small order of the Cajun fries. 

First, the burgers were a good size and I imagine we wouldn't have been able to finish the regular size. However, we are small people so if you can eat a lot, the regular burgers might be better for you. The patties were well seasoned and very juicy. Made fresh and exactly how we ordered them, A+. The small order of Cajun fries was more than enough for the both of us. Actually, the dude filled up the cup and dropped another scoop in our bag; we didn't finish the fries. Btw, Cajun fries are the way to go - fresh cut fries sprinkled with Cajun seasoning. 

The workers were all very nice and there's free peanuts all over the place. We spent about $12 and left the place full and happy. Five Guys serves very quality burgers for a decent price and we'll definitely come back again.","12/22/2009",1
"Five Guys","Not a bad burger. I like the fact they get their potatoes fresh on a weekly basis. The cashier on this particular day suggested I get the Cajun fries with my meal and it did not disappoint. Overflowing cup of fries that you can actually share with someone. I almost always go big or go home when I have the option to get 2 patties over 1. 

I like their burgers but am still in the hunt for the best burger in Dallas..","2/8/2009",2
"Five Guys","The no.2 loaded is a really great burger and their frys are one of my favorite frys. The I like the brown bags it's served in reminds me of a old diner.","12/12/2015",0
"Five Guys","I must be crazy too, because I think this may have been the best burger I've ever had.

The place is definitely a basic burger joint with a a small menu. I've been to Mooyah before and they've definitely tried to imitate what Five Guys is doing in terms of atmosphere, menu, and recipes. But as hard as Mooyah tries, Five Guys is far superior.

I had a bacon cheeseburger and fries and again, it was absolutely amazing. A soft homemade bun, two thick beef patties that were handmade as opposed to the thin pre-made patties at most places. Fresh veggies and melty cheddar cheese and delicious bacon. This is hands-down the best burger I've ever eaten (and I've eaten a lot of burgers in my time).

The fries were practically perfect too. Fresh, handcut potatoes are used to make their fries and the flavor is amazing.

I honestly can't think of another time where I have consciously been amazed by the food I was eating. I cannot wait to go again.","10/10/2008",2
"Five Guys","DELICIOUS hamburgers! They are so juicy, fresh and customized with all the ingredients you want that makes it very different from other fast food chains. Now I understand the growth of this chain. The potato fries are also from real potatoes and you can easily notice that.","11/2/2011",2
"Five Guys","Despite the mixed reviews, I think the burgers here are decent.  The menu is simple...they have burgers with one or two patties, grilled cheese sandwich, and hot dogs.  No chicken, turkey, soy, black bean patties.  

They have a ton of extras ranging from grilled mushrooms and onions to an assortment of peppers that you can add to your burger for absolutely free.  I think the one thing that I really like about this place is the bread.  The bread is really soft and tastes fresh.  

This is a good place to stop for lunch at the Galleria without breaking your budget.","2/11/2009",2
"Five Guys","It might just be that I am a skeptic, but any place that plasters its walls with reviews of how good it is sets off my bull alarms. I mean, if a place is good, it should sell itself.
I had a regular cheeseburger with Cajun fries. The burger was so greasy we needed a ton of napkins, and to me, the flavor wasn't there. I also was not all that impressed with the fries. Added to this, the price is kinda high. Sorry to rain on your parade, but I am not impressed.","2/8/2009",2
"Five Guys","I went back again and tried their cajun fries, they are really good! I forgot to add that unless you have a REALLY big apatite, trust me the single patty hamburger is more than enough.","6/26/2009",1
"Five Guys","Another good meal at 5G today. Cajun fries were right on in terms of doneness and texture; grease level was at a minimum. The burger was fantastic, very juicy without being super greasy. I'm still a big fan!","1/14/2010",1
"Five Guys","Saw this in Galleria and finally stopped in.  The normal burgers are 2 patties and the little burgers are 1.  I got the normal but would have been fine with the little one.

Choices of toppings & sauces were expansive for a little shop.  I agree with the In-And-Out comparison mostly bc of the feel of the joint and limited menu.  Maybe there's a secret Animal Style or Extra Toast to be discovered.  Or maybe they'll look at me like I'm crazy and say no soup for you.","10/14/2009",1
"Five Guys","For the past few years, I've been working in second-tier cities in China - where a good burger is hard to come by. Visiting the Galleria, I *had* to stop in to the Five Guys and try their stuff out.

Good things:

-  I hadn't really heard of Five Guys before, so I was very, very, very pleasantly surprised with the quality of the food.

-  The girl at the counter was patient while I figured out the menu, and helped explain items to me.

-  I ended up ordering a cheeseburger with everything and some fries - super filling, super fresh. I'd go again in a heartbeat.

-  My order came in reasonably fast, and even though we were there at kind of a down time (4:00 PM on a Tuesday or Wednesday afternoon), the staff seemed to be attending to orders super diligently. No one was just standing around. I like things like that.

Bad things:

I can't really justify eating here every day. Honestly, that's about it. I enjoyed my burger, and that's all that really matters at a burger place, right?","7/30/2012",1
"Five Guys","Five guys consistently delivers a big, greasy, cheesy, delicious burger that is sure to please anyone seeking something greater than drive thru trash.

A mountain of fries is served regardless of the size you order and they're good too.  Try cajun style for a little extra spice.

In shell peanuts while you wait.

It really doesn't get much better than this for a fast food burger.

A con would definitely be the price.  A bacon cheeseburger and drink will run you $10.  Add fries and you're up to 12+.

This particular location is a little difficult to get to as it is located inside the Galleria and on the bottom floor.  I always feel strange when I get a to-go order and walk through Macy's with a big greasy bag of food that smells terrible when mixed with the crappy perfume being sprayed non-stop.","5/30/2011",1
"Five Guys","Delicious burgers and those spicy fries are great. I order from Doordash. Thanks!","3/8/2018",0
"Five Guys","I'm pleasantly suprised. Less than $10 for a double cheeseburger (masquerading aroud as a regular cheeseburger), a regular fries that could feed two and a large drink. And it was good too. The meat is the star here. It wasn't overly salty like Ball's or Winfield's (two of my favorite burger joints) can be, nor was it masking lack-luster beef flavor through the clever use of onion powder, garlic, ranch dressing, eggs, etc., etc.,

The simple menu and lack of picture-perfect presentation makes this place feel like it's indepentently owned and operated, even though it's part of a huge chain.","5/24/2011",0
"Five Guys","When I want a burger this is where I go! Love Five Guys and I have consistently gotten great service at this location and now that they finally have the milkshakes, I can give them 5 stars. Salted caramel milkshake is so addictive! I love the fresh cut fries however the Cajun seasoning isn't anything special which it's great you don't get charged extra for it. So I do recommend to check the Cajun fries out just because and you can be your own judge of what you think but I'll stick to the regular.","7/12/2016",2
"Five Guys","A step up from Mooyahs. The taste of their burgers are a step above in my opinion. Giant overstuffed burgers oozing with cheese. Terribly unhealthy but not what they are aiming for lol.","5/2/2014",2
"Five Guys","This is a juicy (read greasy) hamburger...but it isn't pretending to be anything else.  The meat is well seasoned, the toppings choices included grilled onions, grilled mushrooms and jalapenos for free, and the french fries are awesome (don't forget to ask for the cajun seasoning on the fries).  Don't expect a gourmet burger here, but you can be confident you are going to get a top notch example of the classic variety!","10/21/2010",0
"Five Guys","Oh how I love 5 guys burgers!!!

My favorite burger is the double cheese with A1, sauteed onions and mushrooms... So freaking good.  Their meat is always cooked correctly and is always juicy. Topping are great,fresh and in good supply. One big tip is always go there in pairs.. they give enough fries for 2-3 people in a single order and 4-5 in a large. 

Cajun seasoning is pretty good for the fries but get it on the side so you can put the right amount for you on them. The fries are usually slightly overcooked which seems to be their style, so I have gotten used to it. I would easily give 5 stars if they had sweet potatoe fries or the fries were cooked a little better. 

Still my favorite burger place nationwide and will be until something just flat out blows me away the way 5 guys did day one and has continued to do so. 

Sincerely,

Daniel B","1/30/2012",0
"Five Guys","Their burgers are pretty decent, but their hot dogs are the main stars here. They're kosher also maybe that's why they taste so great.","12/23/2014",0
"Five Guys","Inexpensive, delicious, and simple. Perfect! A direct comparison to In-N-Out but they are even in my book for different reasons. 

Five Guys: pattys are superior and have a hand made look/feel
In-N-Out: serves milk shakes!

Final Score: even

Although, I wish that both of them would serve a chicken option too! However that would never happen :(","4/27/2009",0
"Five Guys","Being from Northern Maine, I don't get to go to places like this very often.  I almost got to eat at one a few months ago at Regan National, but I would have missed my flight.  I'm glad I went out of my way tonight in Dallas to eat here.

So, you go to the grocery store and buy ground beef, seeded burger buns, American cheese, white onion, bacon, and potatoes and then go right home.  When you get there, you hand-form the beef into patties and throw them on the griddle.  You cook up the bacon nice and crispy and chop up the onions while you grill the buns to the texture of a good grilled cheese.  Then you cut the potatoes into fries and throw them into peanut oil to fry them.  Burger is done, you put it together with ketchup and mustard and throw a bit of salt on the fries.  Lots, and lots of fries.

This is exactly what you will get if you go to Five Guys Burgers & Fries.  It tastes exactly the same, except you didn't have to go shopping or clean up the mess!  The burger I had, a double bacon with onion, ketchup, and mustard, tasted exactly like I would make at home.  No pre-processed frozen burger patties here!  It was delicious and there is no way anyone could eat all the fries they give you.

Comments specific to this location would be that the guy cooking the burgers and the girl at the register were incredibly friendly and had real, genuine smiles on their faces.  The guy who came to ask me how it was when I was done seemed like he really cared to know the answer I gave him.  This won't be my last Five Guys burger, and if you haven't had one yet, you should!","3/22/2012",0
"Five Guys","Ew. Gross. These burgers are not what I expected. You can actually taste the grease and it doesn't taste very good at all. I got a headache after eating here. This place left a bad taste in my mouth","6/2/2015",0
"Five Guys","Honestly every city I've eaten at is better then the one in Dallas...

I like this place..
the fries are rad,the burgers are good.. just was better in DC..VA.. everywhere else... 
not to mention I hate The Galleria, and get annoyed by all the people not in line but in line on the phone just pacing in and out of line. why go into a place if you don't have the time?","8/26/2010",0
"Five Guys","It's nice to get free peanuts when you arrive. It gives u something to do while waiting on your food. It's also nice to sit and watch the ice skaters nearby. The food is good and cooked fresh. Fresh cut fries. Kids like the soda machine.","8/1/2014",0
"Five Guys","Having a penchant for Burgers, I have long awaited the arrival of Five Guys to Dallas. I first got introduced to Five Guys 5-6 years ago during a trip to the DC area. At the time Five Guys was just 5 stores - a family owned concept started in the DC/MD/VA area that did what they knew best - Burgers and Fries. I considered this one of the best burgers I have had at a fast food joint. So, it became a must-visit destination on almost every visit to DC. When I heard that they are franchising and finally opening in Dallas I was over the moon. So I awaited their opening and finally visited their first store in the Galleria. 

One word: Disappointment !!!
One could say my expectations were too high but nah !! I was in DC 2 weeks ago and visited the very first store that ever opened - completely different experience. So, I thought....maybe I'll give it a couple of days and visit the Galleria store again.
One more word: Dejection !!!

Pros:
- They are finally in Dallas....and it's nice to see the growth of a home grown, family fast food brand that could rival McD's or BK some day.
- The joint has some character and is highly rated in the DC area.

Cons:
- Burger patty was dry and overcooked
- Fries were tasteless and wilted. The same fries that are legendary in DC. I honestly felt that the large fries at $4.09 --- while were very generous in portion --- were a complete waste of money. 
- Limited menu --- which used to mean they specialize and serve what they do best....but I really don't think my wife would ever accompany me to this place to have a burger again. She hated it !!

Bottom line: A very disappointing experience having waited all these years and having tried the real deal (in DC). I might give it one more try in a couple of months...so hope they improve.","7/6/2008",6
"Five Guys","Not slap your momma good, but pretty good. Good pick for a quick burger. Burger and large drink cost me 7.67 but they will make it how you like.","10/27/2013",1
"Five Guys","The is a very decent burger.  You can tell the beef is ground fresh.  Greasier (is this a word?) than Mooyah and not as good as In-N-Out but very decent.  I didn't like the french fries personally but I can see some people liking them.  They were definitely hand cut, but for me they lacked on flavor.  I liked the toppings, fresh jalapenos are good on burgers.  I will say this I wouldn't drive and find parking in the Galleria to go there.  If I was in the mall and wanted a burger I'd go there.","12/3/2008",4
"Five Guys","Plan on doing nothing else after eating their burger and fries. Every time i feel like eating a good sized fresh burger and fresh cut fries that are not frozen, i head to five guys. While eating the burgers, you can munch on some free peanuts too. If you are allergic to peanuts, i would highly suggest you stay away from this place since they also use peanut oil to deep fry the potatoes. I have been eating burgers here for quite a long time but obviously not oftenly because i try to stay away from red meats and fried foods.","8/12/2013",1
"Five Guys","I originally found Five Guys in D.C. and loved it!

Their burgers are huge and very delicious. If you are a burger person you will love this place.

Their menu is very simple, since their motto is they only make what they can make best. 

Their burgers include a double or single patty cheeseburger and a double or single patty regular burger. They also have regular and kosher hot dogs which are to DIE for. I find it hard to decide which to get when I go!

I have to say that the actual MEAT is WAY better in TX compared to Maryland. You can't beat TX beef.

Texans, at least at this particular location, are missing out on another best part about this place. In MD when you order a regular fry they put a cup in the bottom of a bag and then DUMP a ridiculous amount of fries in. This happened at every location I visited in MD and VA, since MD is where the chain originated. 

At this location, however, they only filled the cup up and that was it. The fries were in the same bag as the burgers, which NEVER happened in MD. 

Still a lot of food for the price, and still delicious, but a little harder to share a regular fry between 3-4 people like you can in MD.

All the toppings for your burger are free so pile high or keep it simple it's up to you!","8/18/2009",3
"Five Guys","5 Guys Burgers & Fries is by far my favorite burger place! The fries are delicious & the burgers are sooo good! I love to eat here! Everything is so natural and fresh and juicy!!","8/5/2016",0
"Five Guys","I had heard so much about Five Guys, but was a little disappointed...

We ordered two little Cheeseburgers and 1 hot dog.  Let me just say that it's a good thing they have free peanuts while you wait, because the wait is LONG.  There were two orders in front of us and it took about 20 minutes to spit up our order.  On the plus side, our orders were correct considering the free topping selection they have available.

The burgers were decent.  Much more comparable to In & Out Burgers than McDonalds.  They tasted fresh...but the fries are super delicious.  They are fresh and crispy and fried in peanut oil.  They also give you great portions.

My husband thought the hot dog was the highlight...it is grilled to perfection on a toasted bun.  Very savory.

I wouldn't go out of my way to eat here, but if I were at the Galleria, I may stop in if I have 20 minutes + to wait for a burger.","8/25/2008",3
"Five Guys","This place was amazing! My husband told me that he went there with his friend and they really liked it, but i didn't think it would be this great. I just thought he's a guy so of course he loves burgers pretty much anywhere. He took me there one day and when i opened the wrapper i thought the burger looked a little soggy. I took a bite and i couldn't believe it. It wasn't soggy after all, just slightly steamed which somehow made it even better. Normally, i'm not much of a burger fan but i could eat Five Guys Burgers till my heart explodes. It was delicious! 
The fries really surprised me as well. They had a comforting taste while still tasting lighter and definitely fresher than other french fries. They use a much better oil. When i saw the fries in my bag, i felt like i won the FRENCH FRY LOTTERY! The whole bag was full of them and sitting on top was my yummy, cheesy burger. 
Their burger is like eating home cooked burgers. The meat was so fresh that there's just no way to compare it to nasty fastfood burgers. The place had a cute diner / fast food restaurant atmosphere and the staff was prefectly friendly. 
I can't wait to go there again.","12/3/2009",2
"Five Guys","If you want a fatass burger and very compacted then come here. I came here with my gf and she warned me that their normal burgers come with two meat patties, but I didn't think anything of it. I had the Bacon Cheeseburger All the Way. I guess that's what made my burger so fat that I could barely fit my mouth around it to take a bite.(twss) Seriously, it was tightly packed with foil and the juices/grease soaked the bun I forgot that I was eating any bread. Luckily, I went during a weekday evening so there weren't too many people around to see the juices dripping from my face. I think next time I might wimp out and get the single patty burgers, it might be neater eating.","4/26/2011",2
"Five Guys","Another yeppy designer burger place.The burger is only 1/4 pound burger for the price of 2 pounds of prime ground round. Its nice clean and new.The reason for this review is the wendy fries.Nothing they can do about it just there business model. I will not go back...","3/2/2014",0
"Five Guys","I really like this place because the burgers are real juicy. Plus when you order fries, they give it to you in a medium sized cup and a lot in your paper bag.","10/29/2013",0
"Five Guys","i don't understand the hype with 5 guys.. in and out blows this place away

i came here for lunch recently.. and got a burger and fries and a drink.. the burger meat was flavorless.. the fries needed salt.. and it's too pricy for fast food... you can get a better burger at a ton of places here in dallas.. maple and motor ftw!","2/12/2011",1
"Five Guys","Ate there today for the first time.  Not bad, pretty quick service, was there on off hours though.  Two big negatives for me:

- One cheeseburger, one order of fries, one Coke - 12 bucks.  Crazy overpriced.  For 12 bucks it better be the best burger on the planet.

 - The bun fell completely apart about half way through the burger.  Need a more substantial bun if you're going to make a big azz burger with lots of stuff on it.  Turned into like a sloppy joe burger, could have used a knife and fork.

On the plus side:

- Burger is very good, very meaty (double patty), quite filling.  No extra charge for any of the toppings, very nice. 

- Fries are killer, they come out smokin' hot, and you get a ton of them, overflowing out of the container.

Had a nice meal but probably won't go back, a little too pricey for me for a quick burger lunch.","11/28/2012",1
"Five Guys","Went to the mall and asked around the where I should eat since this was my first trip to Dallas and this mall. Everyone said...First time here go to Five Guys. I really wasnt in the mood for a burger, but it was the place everyone pointed me to.

The burger was the best I have ever had (Taylors Refershers in St Helena, CA and SF,CA is second best). The endless condiments you can add to your burgers can make you go crazy as to flavors you want yor tongue to absorb. Also, get the cajun fries. A small size is more than enough for 2. But I couldnt share them. They were too good. The sweet tea is good there too, although im not an expert on sweet tea. I was in town for 3 days there and I came back her a second time on my trip.","5/1/2009",1
"Five Guys","Five Guys is pretty good.  It's a little pricey for a burger joint and the food portion is just too much.  Service is great, and the food is served quickly.  Just knocking it a star for price and portion.  I do prefer In N Out, but I'm a SoCal boy, so what do you expect.","8/20/2012",1
"Five Guys","Great burgers!  Made just the way I want it. Made from scratch.   Great fries!  Awesome Customer Service!    Highly recommend.","7/15/2013",0
"Five Guys","Warning: huge portions, do not go here alone.  The burgers and fries are really good and the staff is always friendly.  The prices are a bit high, but if you are sharing fries, not a big deal.  Feel free to take some peanuts back to the office for an afternoon snack.","7/26/2009",0
"Five Guys","Been there twice and it was consistent. Awful. The patties have no flavor and are an unappetizing dark color. They are reminiscent of McDonald's . The fries are greasy and limp. Yes, it is cheap and may be fresh but who cares? For another three dollars you get a better product at Liberty. For an additional two dollars you can have one of the best burgers in Dallas at Becks. 

Wish it were better as there are a lot of topping options but this is just bad.","9/17/2013",0
"Five Guys","Seems like it's always hit or miss with this place. One day great food the other day, not so much. Last time I was there my fries were hot and tasty but the burger was not good, how can this happen? The burger I ate this day had almost no seasoning like they completely forgot to add salt. I will try them again but it may be six months as they have a lot of competition which I feel are better establishments.","10/24/2013",0
"Five Guys","By far the best fast food burgers in town. Juicy beef and freshly made frys. And free peanuts! How can you not love this place?","5/26/2013",0
"Five Guys","Living in California, it is a treat to have Five Guys when I can. The only other places I've had it is in D.C./Maryland and North Carolina.  It is downstairs in the mall and service was very friendly.  I had a little cheeseburger and it was good, although not as sumptuous as I remembered from before. It also could have been because I got distracted in the mall and waited awhile before eating the burger.","6/23/2010",0
"Five Guys","I was craving something greasy after spending 10 hours at work and the fact that in 72 hours, I will be doing the Rebel Race. The mood I was sinking into was for me to sink my teeth into oil, cheese, meat and salt. My craving led me to FGB&F. I ordered the regular size burger and I forgot the little burgers are big enough. Also, you can actually share the small size fries. The cashier that took my order was very friendly and actually had a small conversation with me. The fries were great and well seasoned.  They still had some potato skins on them. sigh! Greasy Success!  The burgers were good and the price was decent. I was pretty full after eating only half.","8/16/2012",0
"Five Guys","Tasty! On my burger scale, it wasn't as good as Shake Shack in NYC, but it's close. I wanted to try this place when I was in NYC, but I didn't have the time to try two burger places (boo!), so I'm glad I was able to go here in Dallas. This place reminds me of In-and-Out for some reason.","9/28/2009",0
"Five Guys","Horrible, Horrible, the horror.  Water and grease apparantly do mix as proven by the paper thin grease soaked patties that have you craving for a cup of astringent.  Why do people get lazy and grill paper thin patties.  A burger should be a thick slab of quality beef that you can sink your teeth into, not get a paper cut on your lip.  Plus you can end up saving the environment on using less napkins.","11/19/2010",0
"Five Guys","Good burger for a FAST FOOD place!  Single meat is the little burger & double meat is the regular burger. The fries are what I really like!   Beware, they give a lot so be sure to share!  Peanuts while you wait!  Yum!","12/19/2011",0
"Five Guys","This place is a bit over-rated. Not to say their burger was disgusting. It was just okayish. I think Burger Street is much better and not as greasy.","12/2/2010",0
"Five Guys","I literally just finished up my Five Guys meal of a made-to-order grilled cheese.  It was really the perfect size.  It looks like they grill up the hamburger buns instead of sandwich bread and you're left with a cute, round, stuffed sandwich.  I was full, but not stuffed (I hear it's the awesome fries that do you in).  The only reason I'm giving it four stars is that the jalepenos I ordered didn't add enough spice to the sandwich, but nevertheless, I will be back.","10/25/2012",0
"Five Guys","Great food! The staff members don't know what courtesy is about, horrible service! The male heavy set cook was horrible! Who ever owns this place needs to rethink who he hires as his/her staff members!","6/1/2015",0
"Five Guys","Very average burger, at best.  Kincaids is much better, as are several other local, non chain joints.  Better than a McDonalds but not much.","7/7/2011",0
"Five Guys","Five Guys has the best non-In-n-Out fast food burger in the country. It's an institution in my hometown of Washington DC that has franchised nationally in recent years. Mooyah has tried to copy their decor and burger style in DFW, but they can't pull it off like the original.","11/3/2009",0
"Five Guys","They weren't the first burger concept to bring fresh cow, dough and potatoes to a fast food table (a la In-n-Out), but they ABSOLUTELY ARE THE BEST!!!  In rank order of awesome chain FRESH burger places, these guys are number one! (In-n-Out #2, Mooyah #3).  Their burgers are consistently tasty and greasy and their fries kick the pants off of Mooyah and In-n-Out.","8/30/2011",0
"Five Guys","Love this place!! Great burgers!! Closest thing to In & Out burger in the area!!! Fries are hand cut and fresh everyday!!! If it was up to the  bf we would eat there everyday..","8/29/2010",0
"Five Guys","I don't get all of the hype. The burger was okay but not worth the price. I can make a burger at home that's just as good for a fraction of the price,

However, when I asked about the fries , I wanted to make sure that they would be cooked crisp and hot when I receive my food. I explained to the order taker that I have had a lot of bad,cold,soggy fries at other burger joints and I expect being that this place is so pricey that the fries better be perfect.

Well when the food came out guess what, the fries were piping hot , but under cooked and soggy. I then brought it to their attention and they offered to give me a new order of fries. By the time the fries came out I was done with the burger and the fries ended up being the same way, under cooked and soggy.

This was at the north Irving location on Macarther.","1/14/2013",0
"Five Guys","The hamburgers at Five Guys are some of the best tasting you will get anywhere. The fries are not my favorite, but they are OK. Free peanuts to snack on while you wait for your order are a plus.","1/12/2011",0
"Five Guys","I love their burger because they are so fresh.  Also you can design it to your own preferences.  There are alot of great toppings too.  They offer peanuts as you wait for your food.  Beware that the regular fries are enormous and can feed 2-3 people.","6/26/2012",0
"Five Guys","place is overrated i think, i mean the fries were good but the burger seemed too dry. ehh ive experienced better it seems like a overpriced rallys to me. not worth the 9 bucks.","12/16/2009",1
"Five Guys","My mother and I went to the Galleria on Saturday, March 11. We decided to grab some lunch at Five Guys on the Ice Rink level, and let me tell you - it was FABULOUS! I have been to other Five Guys in the area many times, but this one at the Galleria takes the cake! The person who took our order was extremely friendly and fast, and while the place was very busy we had no trouble finding a seat, as the lady who was in charge of cleaning tables was fast, efficient, and helpful in showing us a table. What really made this a special visit was what happened when our food was ready. The guy who took our order personally delivered our food to us - he remembered our number and even asked if we needed some ketchup! What BRILLIANT service! We will definitely keep this Five Guys in mind next time we're craving a burger at the Galleria - way better than the McDonald's on the third level!","3/13/2012",1
"Five Guys","The vibe of the interior design is more like a hole in the wall style.  You can have as many peanuts as you like while you wait for your order.  The peanuts are roasted and good.   Cashier girl was nice.  I got the cajun fries and the worker described it as spicy, but it tasted like it was just seasoned to me.  The fries were bit crispy so it was good, cause usually fries that size tend to be soggy.  I got the little cheeseburger, which filled me up.  Little doesn't mean little, little means one patty which is still a full size burger especially with everything in it.  The burger can get messy, but it was tasty.  Not bad here.","1/13/2011",0
"Five Guys","Amazing.  Best burger period.  Forget in and out.  Forget everybody else.  And amazing fries.  Worth the trip.","10/4/2012",0
"Five Guys","Rookie took my order and got it wrong. Ordered Cajun fries, got regular fries and was handed a container of seasoning. Disappointed.","1/2/2013",0
"Five Guys","My first experience in a Five Guys Restaurant was today and I was quite impressed!  My burger was absolutely declicious.  It was made fresh once I ordered it and you can choose whatever toppings you like for no additional charge.  I'm a big eater and I like how the standard burger has two patties.  I don't know if we just got lucky but it seemed as if they made our fries to order too, they were HOT!!  They were cooked really well and as others have said they were plentiful!  I would definitely recommend splitting the small order among a couple people.  Way more than you need, but honestly it was even more than I wanted.  I opted for the cajun spice on the fries, and while it wasn't bad, I was certianly underwhelmed.  I think I could concoct a better seasoning in just a few minutes.  Another minor annyoyance was that you cannot understand what order number the guy is calling out.  It would seriously be a lot easier on everyone if he just said quarto or cinco lol. I would have rated this place a 5 star, but b/c of the lackluster cajun seasoning and the guy calling out the order numbers, it just isn't quite perfect.","10/10/2010",0
"Five Guys","Any reviewer on here who compares Five Guys to Whataburger needs to have their heads examined.  There is no comparison.  The burgers are huge, fresh and very tasty. The fries arrive at the restaurant disguised as potatoes. It doesn't get any fresher.  If you want a five dollar burger, have at it, McDonalds awaits you.  If you want quality burgers, this place has them.","9/8/2022",1
"Five Guys","Wouldn't hire the Gm kevin to run my business frugal ass  doesn't know how to treat a customer and make them happy to wanna come back to the location that screwed their entire order up. . I guess that's what happens when you hire a bunch of teenagers that don't know what they're doing and mess everybody shut up, knowing that the place is not gonna refund them after they piss them off. Not even a gift certificate to come back. Laugh my ass off go to In-N-Out Burger. It's 2/3 the cost of five guys ratchet n fries","1/6/2023",0
"Five Guys","The service was non-existent & they have the nerve to ask for a tip when you slide your card at payment. The burger and fries were good, but $19.84 for a burger and fries is ridiculous. Yes, I knew the prices before ordering; but I was looking for Jimmy John's & couldn't find it so ended up coming here in a pinch. Lesson learned.","4/5/2022",0
"Five Guys","Went to this establishment today. It's an extremely expensive place when I compare to the quality of food.
I paid almost 5 bucks for the small fries and it taste lawful,fully loaded with red pepper and salt. I threw it away . The burger was normal , nothing to boast about .
There are 5 workers at the counter with 2 customers. 
Probably will return in a year and please remove that disgusting fries.","6/16/2022",0
"Five Guys","Worst run restaurant ever. 30-45 minutes for a burger. Fry cook is the cashier. Mananger just wants to stuff bags. One lady is responsible for everything else; building burgers and cooking french fries. 30 people here just waiting on food. All of them standing around the pickup area. I'm #27 and I just heard them call #10's order. I've been waiting 30 minutes and still have 10+ orders in front of mine. Don't come here unless you run out of options.","9/29/2022",0
"Five Guys","These burgers are the best and my favorites. If they had a drive thru I would likely be by here once a week!  Take it lightly on the fries. We bought a large and has 3 servings left to take home!
I had a large burger with bacon and cheese and fixings...soo delicious!!!","5/25/2020",2
"Five Guys","Staff was rude and food was of subpar quality. Spent $44 for a McDonald's burger. Will not be coming back. Sucks too because 5 guys is usually good. Terrible location. Staff has no sense of hospitality.","1/9/2022",0
"Five Guys","Can someone tell me what's going on with the Irving location at MacArthur and Royal Ln?
I called repeatedly and they just hang up...no hello or nothing. I wanted to place an order by phone and pick it up but the website only gave a delivery option through Grub Hub or Door Dash.  It would be great if they explained their changes instead of just hanging up on me.","1/12/2021",1
"Five Guys","Five guys in Irving has very average food and the staff is rude. I'm not understanding what happened to good customer service, but it no longer exist. I don't need the rolling out of the red carpet upon entry into an establishment just a simple...Hi how can I help you! Going forward I'll take my business elsewhere.","3/5/2022",0
"Five Guys","They've obviously got very fresh ingredients, and it tastes that way. Their burgers are miles ahead of other fast food chains. Understandably, the orders take longer to make. 

I dislike how overpriced Five Guys is. I got the little bacon cheeseburger without the bun, which came out to about $9. So it's not much food for what I paid, and the taste is not amazing. I could get a fresh bunless burger for much cheaper at a certain Californian burger chain across the street.

Additonally, the lettuce wraps are very messy and hard to eat. The other aforementioned Californian burger chain makes lettuce wraps much neater with a taped paper wrapper. Five guys just folds it in foil.","8/26/2019",1
"Five Guys","Placed an order online, paid and when I went to go pick up my food, they had locked the doors and didn't even come out to see why I was standing there. Took my payment with no food in return.","2/1/2022",0
"Five Guys","My wife and I did a taste test with Five Guys, In and Out and Whataburger. I was trying to buy a hamburger and fries at each. Whataburger it was around $5.50. In and Out with the double was around $5.50. Five Guys' most basic burger was more than that and with fries was $12+. It was twice as expensive but the fries were better. The burger had way more meat than the other two. 
Five Guys doesn't have a drive through so you have to walk in. 
Five Guys has free peanuts!
Five Guys has so many different toppings compared to the other two plus I like the grilled onions slightly better than the raw ones on the other burgers. 
Five Guys is a 5 star place with service and food. Five Guys a 3 star place with prices and no drive through","1/25/2019",10
"Five Guys","They've gone downhill and I'm no longer a fan. The prices don't match the poor quality. I shouldn't have to add extra salt to a burger to make it edible.  No one wants to eat unseasoned ground beef.","3/26/2018",7
"Five Guys","Decided to get take out from this place last Friday night. I ordered a bunless bacon cheese burger (due to a gluten allergy) with lettuce, tomato, grilled mushrooms, and A-1 and mayo. A-1 and mayo came in tiny cups on the side. 

The burger was ICE cold. Granted, it was take out, but the place is mere minutes from my house. The burger is thin and the toppings were minimal. The taste wasn't any better than a Burger King or McDonald's burger. 

Considering this burger without a bun came to a whopping 8.99 I would definitely say this was not worth the price. The prices here are greatly inflated: 5 bucks for a small order of fries and 2.50 for a drink? I won't be back.","1/22/2018",4
